iter	RMSE
0	13.97880291
1	13.07160599
2	12.25132247
3	11.49360203
4	10.8259384
5	10.23874744
6	9.719278096
7	9.278583313
8	8.862435436
9	8.472670725
10	8.093811245
11	7.814460319
12	7.555443961
13	7.319967278
14	7.081493394
15	6.898549325
16	6.723436973
17	6.58043226
18	6.422795852
19	6.286765677
20	6.1680253
21	6.073967587
22	5.98286122
23	5.896373421
24	5.831412109
25	5.752364385
26	5.680641231
27	5.636356899
28	5.589335933
29	5.541013952
30	5.499911307
31	5.463882885
32	5.415008297
33	5.382497465
34	5.345360811
35	5.316438513
36	5.292851077
37	5.275962885
38	5.249318849
39	5.228676649
40	5.216785841
41	5.197241115
42	5.186197513
43	5.173575984
44	5.160083822
45	5.138893228
46	5.122915676
47	5.114318508
48	5.092469477
49	5.07763028
50	5.064803545
51	5.045683938
52	5.03299447
53	5.025719211
54	5.006837448
55	4.99377133
56	4.98230414
57	4.965274477
58	4.946363477
59	4.930774334
60	4.924249868
61	4.905774527
62	4.891414896
63	4.8845613
64	4.866834145
65	4.855406302
66	4.845980013
67	4.838855935
68	4.822546503
69	4.810428653
70	4.804365108
71	4.797661301
72	4.792825181
73	4.78161073
74	4.770630173
75	4.76540114
76	4.762330972
77	4.746770094
78	4.735310748
79	4.720666783
80	4.71234355
81	4.704144295
82	4.696520692
83	4.69029546
84	4.685298204
85	4.678898868
86	4.673613267
87	4.66853869
88	4.652621377
89	4.634851808
90	4.624268445
91	4.612562937
92	4.60141066
93	4.593400695
94	4.583776221
95	4.579373916
96	4.571613399
97	4.569997953
98	4.565301163
99	4.543841866
