iter	Passed	Remaining
0	0	321
1	0	318
2	0	310
3	1	306
4	1	313
5	1	301
6	2	294
7	2	297
8	2	293
9	2	285
10	3	286
11	3	282
12	3	278
13	3	277
14	4	278
15	4	276
16	4	277
17	5	281
18	5	279
19	5	281
20	5	279
21	6	277
22	6	279
23	6	279
24	7	278
25	7	277
26	7	275
27	7	273
28	8	271
29	8	269
30	8	267
31	8	265
32	8	263
33	9	262
34	9	260
35	9	258
36	9	257
37	10	256
38	10	254
39	10	253
40	10	253
41	11	252
42	11	251
43	11	250
44	11	249
45	12	249
46	12	248
47	12	248
48	12	248
49	13	250
50	13	250
51	13	249
52	13	249
53	14	249
54	14	249
55	14	249
56	15	248
57	15	248
58	15	248
59	15	248
60	16	247
61	16	247
62	16	247
63	16	246
64	17	246
65	17	245
66	17	246
67	17	245
68	18	245
69	18	245
70	18	245
71	19	244
72	19	244
73	19	244
74	19	244
75	20	243
76	20	243
77	20	243
78	20	243
79	21	242
80	21	242
81	21	242
82	21	242
83	22	241
84	22	241
85	22	241
86	22	240
87	23	240
88	23	240
89	23	239
90	23	239
91	24	238
92	24	238
93	24	238
94	25	238
95	25	237
96	25	237
97	25	237
98	26	237
99	26	236
100	26	236
101	26	236
102	27	235
103	27	235
104	27	235
105	27	234
106	28	234
107	28	234
108	28	234
109	28	233
110	29	233
111	29	233
112	29	233
113	29	233
114	30	232
115	30	232
116	30	232
117	31	232
118	31	232
119	31	231
120	31	230
121	32	230
122	32	229
123	32	229
124	32	229
125	33	228
126	33	228
127	33	228
128	33	227
129	33	227
130	34	227
131	34	226
132	34	226
133	35	226
134	35	225
135	35	225
136	35	225
137	35	224
138	36	224
139	36	224
140	36	223
141	37	223
142	37	223
143	37	222
144	37	222
145	38	222
146	38	221
147	38	221
148	38	221
149	38	220
150	39	220
151	39	220
152	39	220
153	40	219
154	40	219
155	40	219
156	40	218
157	41	218
158	41	218
159	41	217
160	41	217
161	41	217
162	42	217
163	42	216
164	42	216
165	42	215
166	43	215
167	43	215
168	43	215
169	44	214
170	44	214
171	44	214
172	44	213
173	44	213
174	45	213
175	45	213
176	45	212
177	46	212
178	46	212
179	46	211
